Manchester City;Aston Villa;1.18;7.92;18.7;2022-05-22;17:00;1;400;Waiting
Manchester City;Aston Villa;1.18;7.92;18.7;2022-05-22;17:00;1;1000;Waiting
Manchester City;Aston Villa;1.18;7.92;18.7;2022-05-22;17:00;3;10;Waiting
Liverpool;Wolves;1.14;9.22;23.3;2022-05-22;21:00;1;1000;Waiting
Manchester City;Aston Villa;1.18;7.92;18.7;2022-05-22;17:00;1;500;Waiting
Liverpool;Wolves;1.14;9.22;23.3;2022-05-22;21:00;1;2000;Waiting
Chelsea;Watford;1.2;7.23;17.3;2022-05-22;19:00;2;1000;Waiting
Chelsea;Watford;1.2;7.23;17.3;2022-05-22;19:00;1;200;Waiting
Chelsea;Watford;1.2;7.23;17.3;2022-05-22;19:00;1;200;Waiting
Chelsea;Watford;1.2;7.23;17.3;2022-05-22;19:00;1;200;Waiting
Chelsea;Watford;1.2;7.23;17.3;2022-05-22;19:00;1;500;Waiting
